open,high,low,close,volume,quote_volume,trades,close_datetime
62152.0,62177.14,62091.59,62124.0,63.32363,3935114.8977555,6880,2024-07-03 01:29:59.999000+02:00
62124.0,62146.72,62086.0,62140.0,46.74981,2903891.7069139,5550,2024-07-03 01:44:59.999000+02:00
62140.0,62148.1,62092.5,62135.47,43.26493,2687580.2840372,5509,2024-07-03 01:59:59.999000+02:00
62135.46,62221.97,62128.59,62221.97,126.98064,7895784.7949075,8867,2024-07-03 02:14:59.999000+02:00
62221.97,62279.87,62216.17,62248.0,86.71686,5398359.0851234,8432,2024-07-03 02:29:59.999000+02:00
62248.0,62285.94,62244.0,62260.64,58.1227,3619257.7304383,5616,2024-07-03 02:44:59.999000+02:00
62260.64,62269.63,62093.36,62094.02,93.01434,5784087.4644111,8077,2024-07-03 02:59:59.999000+02:00
62094.02,62113.09,61863.14,62042.02,223.25834,13835489.4511088,19739,2024-07-03 03:14:59.999000+02:00
62042.02,62218.0,61998.19,62102.0,133.01636,8260081.832798,11542,2024-07-03 03:29:59.999000+02:00
62102.01,62165.07,62036.0,62060.33,95.13948,5906886.4534135,12004,2024-07-03 03:44:59.999000+02:00
62060.34,62070.56,61228.8,61617.91,1143.71589,70439353.5389451,58251,2024-07-03 03:59:59.999000+02:00
61617.9,61617.91,61458.0,61538.01,396.27273,24386881.8682389,31375,2024-07-03 04:14:59.999000+02:00
61538.01,61568.0,61472.0,61533.01,290.61642,17876574.1308959,18307,2024-07-03 04:29:59.999000+02:00
61533.01,61599.27,61245.96,61257.9,537.23238,33024595.7706045,30280,2024-07-03 04:44:59.999000+02:00
61257.9,61371.47,61246.57,61362.0,235.6291,14449635.4537167,15581,2024-07-03 04:59:59.999000+02:00
61362.01,61371.19,60800.0,60814.86,648.47733,39588808.4994813,33952,2024-07-03 05:14:59.999000+02:00
60814.86,61041.34,60600.0,60996.0,650.56988,39594182.5812622,48255,2024-07-03 05:29:59.999000+02:00
